,name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
987,HOLIKOVA Zuzana,HOLIKOVA Z,Female,1999-10-01,RYCHNOV NAD KNEZNOU,Czech Republic,Czech Republic,CZE,Cross-Country Skiing,CCS,LIBEREC,Czech Republic,,../../../en/results/cross-country-skiing/athlete-profile-n1040806-zuzana-holikova.htm
988,HOLLANDER Sean,HOLLANDER S,Male,2000-02-11,,,United States of America,USA,Luge,LUG,"LAKE PLACID, NY",United States of America,,../../../en/results/luge/athlete-profile-n1044543-sean-hollander.htm
989,HOLLENSTEIN Denis,HOLLENSTEIN D,Male,1989-10-15,MOSNANG,Switzerland,Switzerland,SUI,Ice Hockey,IHO,ZURICH,Switzerland,1.83/6'0'',../../../en/results/ice-hockey/athlete-profile-n1048559-denis-hollenstein.htm
990,HOLM Philip,HOLM P,Male,1991-12-08,STOCKHOLM,Sweden,Sweden,SWE,Ice Hockey,IHO,HELSINKI,Finland,1.87/6'1'',../../../en/results/ice-hockey/athlete-profile-n1048747-philip-holm.htm
991,HOLMBERG Pontus,HOLMBERG P,Male,1999-03-09,VASTERAS,Sweden,Sweden,SWE,Ice Hockey,IHO,VAXJO,Sweden,1.80/5'10'',../../../en/results/ice-hockey/athlete-profile-n1048748-pontus-holmberg.htm
992,HOLOPAINEN Elisa,HOLOPAINEN E,Female,2001-12-27,TUUSNIEMI,Finland,Finland,FIN,Ice Hockey,IHO,KUOPIO,Finland,1.66/5'5'',../../../en/results/ice-hockey/athlete-profile-n1005528-elisa-holopainen.htm
993,HOLTERMANN Henrik,HOLTERMANN H,Male,1997-03-23,LYNGBY-TAARBAEK,Denmark,Denmark,DEN,Curling,CUR,HVIDOVRE,Denmark,,../../../en/results/curling/athlete-profile-n1025277-henrik-holtermann.htm
994,HOLTMANN Mina Fuerst,HOLTMANN MF,Female,1995-07-17,MALSELV,Norway,Norway,NOR,Alpine Skiing,ALP,OSLO,Norway,,../../../en/results/alpine-skiing/athlete-profile-n1031370-mina-fuerst-holtmann.htm
995,HOLUND Hans Christer,HOLUND HC,Male,1989-02-25,OSLO,Norway,Norway,NOR,Cross-Country Skiing,CCS,NITTEDAL,Norway,,../../../en/results/cross-country-skiing/athlete-profile-n1032203-hans-christer-holund.htm
996,HOLZER Korbinian,HOLZER K,Male,1988-02-16,MUNICH,Federal Republic of Germany,Germany,GER,Ice Hockey,IHO,YEKATERINBURG,Russian Federation,1.90/6'2'',../../../en/results/ice-hockey/athlete-profile-n1001244-korbinian-holzer.htm
997,HOLZMANN Johanna,HOLZMANN J,Female,1995-10-23,MEMMINGEN,Germany,Germany,GER,Freestyle Skiing,FRS,OBERSTDORF,Germany,,../../../en/results/freestyle-skiing/athlete-profile-n1012743-johanna-holzmann.htm
998,HOMAN Rachel,HOMAN R,Female,1989-04-05,"OTTAWA, ON",Canada,Canada,CAN,Curling,CUR,"BEAUMONT, AB",Canada,,../../../en/results/curling/athlete-profile-n1054801-rachel-homan.htm
999,HONKANEN Riikka,HONKANEN R,Female,1998-07-17,KLAUKKALA,Finland,Finland,FIN,Alpine Skiing,ALP,NURMIJARVI,Finland,,../../../en/results/alpine-skiing/athlete-profile-n1013012-riikka-honkanen.htm
1000,HOOGERWERF Dylan,HOOGERWERF D,Male,1995-08-09,DELFT,Netherlands,Netherlands,NED,Short Track Speed Skating,STK,WATERINGEN,Netherlands,,../../../en/results/short-track-speed-skating/athlete-profile-n1055957-dylan-hoogerwerf.htm
1001,HOPJAKOVA Vendula,HOPJAKOVA V,Female,1996-06-10,OLOMOUC,Czech Republic,Czech Republic,CZE,Snowboard,SBD,,Czech Republic,,../../../en/results/snowboard/athlete-profile-n1033812-vendula-hopjakova.htm
1002,HORALKOVA Pavlina,HORALKOVA P,Female,1991-05-24,BENESOV,Czech Republic,Czech Republic,CZE,Ice Hockey,IHO,,,1.66/5'5'',../../../en/results/ice-hockey/athlete-profile-n1055680-pavlina-horalkova.htm
