,name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
1558,LOUGHRAN Eric,LOUGHRAN E,Male,1995-04-12,"LOWELL, MA",United States of America,United States of America,USA,Freestyle Skiing,FRS,"PELHAM, NH",United States of America,,../../../en/results/freestyle-skiing/athlete-profile-n1044707-eric-loughran.htm
1559,LOUTITT Alexandria,LOUTITT A,Female,2004-01-07,"CALGARY, AB",Canada,Canada,CAN,Ski Jumping,SJP,"CALGARY, AB AND KRANJ",Slovenia,,../../../en/results/ski-jumping/athlete-profile-n1038657-alexandria-loutitt.htm
1560,LOVE Kaysha,LOVE K,Female,1997-09-24,"WEST JORDAN, UT",United States of America,United States of America,USA,Bobsleigh,BOB,"LAS VEGAS, NV",United States of America,,../../../en/results/bobsleigh/athlete-profile-n1041481-kaysha-love.htm
1561,LOWENHIELM Michelle,LOWENHIELM M,Female,1995-03-22,SOLLENTUNA,Sweden,Sweden,SWE,Ice Hockey,IHO,,,1.72/5'7'',../../../en/results/ice-hockey/athlete-profile-n1042016-michelle-lowenhielm.htm
1562,LUCHNIKOVA Polina,LUCHNIKOVA P,Female,2002-01-30,SEROV,Russian Federation,ROC,ROC,Ice Hockey,IHO,UFA,Russian Federation,1.67/5'5'',../../../en/results/ice-hockey/athlete-profile-n1056266-polina-luchnikova.htm
1563,LUCZAK Magdalena,LUCZAK M,Female,2001-12-31,,,Poland,POL,Alpine Skiing,ALP,LUDZ,Poland,,../../../en/results/alpine-skiing/athlete-profile-n1032098-magdalena-luczak.htm
1564,LUDWIG Johannes,LUDWIG J,Male,1986-02-14,SUHL,German Democratic Republic,Germany,GER,Luge,LUG,OBERHOF,Germany,,../../../en/results/luge/athlete-profile-n1014530-johannes-ludwig.htm
1565,LUEFTNER Julian,LUEFTNER J,Male,1993-01-11,ZAMS,Austria,Austria,AUT,Snowboard,SBD,ZAMS,Austria,,../../../en/results/snowboard/athlete-profile-n1005472-julian-lueftner.htm
1566,LUNDER Emma,LUNDER E,Female,1991-09-02,"NORTH VANCOUVER, BC",Canada,Canada,CAN,Biathlon,BTH,"CANMORE, AB",Canada,,../../../en/results/biathlon/athlete-profile-n1051499-emma-lunder.htm
1567,LUNDIN Sofie,LUNDIN S,Female,2000-02-15,HELSINGBORG,Sweden,Sweden,SWE,Ice Hockey,IHO,,,1.64/5'4'',../../../en/results/ice-hockey/athlete-profile-n1042017-sofie-lundin.htm
1568,LUO Jia,LUO J,Male,1992-11-01,"BURNABY, BC",Canada,People's Republic of China,CHN,Ice Hockey,IHO,,Canada,1.79/5'10'',../../../en/results/ice-hockey/athlete-profile-n1137069-jia-luo.htm
1569,LUTZ Lena Marie,LUTZ LM,Female,2001-07-12,,,Switzerland,SUI,Ice Hockey,IHO,,,1.66/5'5'',../../../en/results/ice-hockey/athlete-profile-n1048751-lena-marie-lutz.htm
1570,LYLYNPERA Katri,LYLYNPERA K,Female,1994-01-03,VAMMALA,Finland,Finland,FIN,Cross-Country Skiing,CCS,SASTAMALA,Finland,,../../../en/results/cross-country-skiing/athlete-profile-n1035597-katri-lylynpera.htm
1571,LYSETSKYI Andrii,LYSETSKYI A,Male,1998-02-10,,,Ukraine,UKR,Luge,LUG,LVIV,Ukraine,,../../../en/results/luge/athlete-profile-n1045025-andrii-lysetskyi.htm
1572,MA Qinghua,MA Q,Female,1995-05-26,,,People's Republic of China,CHN,Cross-Country Skiing,CCS,,People's Republic of China,,../../../en/results/cross-country-skiing/athlete-profile-n1058576-qinghua-ma.htm
1573,MA Xiuyue,MA X,Male,1991-05-21,HARBIN,People's Republic of China,People's Republic of China,CHN,Curling,CUR,,People's Republic of China,,../../../en/results/curling/athlete-profile-n1057626-xiuyue-ma.htm
1574,MAAG Natalie,MAAG N,Female,1997-11-29,WETZIKON,Switzerland,Switzerland,SUI,Luge,LUG,WERNETSHAUSEN,Switzerland,,../../../en/results/luge/athlete-profile-n1048756-natalie-maag.htm
1575,MABERGS Sofia,MABERGS S,Female,1993-04-09,MALUNG,Sweden,Sweden,SWE,Curling,CUR,GAVLE,Sweden,,../../../en/results/curling/athlete-profile-n1055801-sofia-mabergs.htm
1576,MACEDO Michel,MACEDO M,Male,1998-09-23,FORTALEZA,Brazil,Brazil,BRA,Alpine Skiing,ALP,SINATRA,Portugal,,../../../en/results/alpine-skiing/athlete-profile-n1055124-michel-macedo.htm
1577,MACHYNIAKOVA Veronika,MACHYNIAKOVA V,Female,1997-09-14,BREZNO,Slovakia,Slovakia,SVK,Biathlon,BTH,HRONEC,Slovakia,,../../../en/results/biathlon/athlete-profile-n1053036-veronika-machyniakova.htm
1578,MACKAY Brendan,MACKAY B,Male,1997-06-07,"CALGARY, AB",Canada,Canada,CAN,Freestyle Skiing,FRS,"CALGARY, AB",Canada,,../../../en/results/freestyle-skiing/athlete-profile-n1037614-brendan-mackay.htm
1579,MADEROVA Zuzana,MADEROVA Z,Female,2003-09-20,LIBEREC,Czech Republic,Czech Republic,CZE,Snowboard,SBD,LIBEREC,Czech Republic,,../../../en/results/snowboard/athlete-profile-n1033808-zuzana-maderova.htm
1580,MADSEN Morten,MADSEN M,Male,1987-01-16,RODOVRE,Denmark,Denmark,DEN,Ice Hockey,IHO,TIMRA,Sweden,1.89/6'2'',../../../en/results/ice-hockey/athlete-profile-n1031910-morten-madsen.htm
1581,MAEDA Sari,MAEDA S,Female,1990-05-25,KUTCHAN,Japan,Japan,JPN,Biathlon,BTH,SAPPORO,Japan,,../../../en/results/biathlon/athlete-profile-n1040977-sari-maeda.htm
1582,MAEDER Carlos,MAEDER C,Male,1978-10-23,CAPE COAST,Ghana,Ghana,GHA,Alpine Skiing,ALP,LUZERN,Switzerland,,../../../en/results/alpine-skiing/athlete-profile-n1073874-carlos-maeder.htm
1583,MAEKIAHO Arttu,MAEKIAHO A,Male,1997-09-16,KAJAANI,Finland,Finland,FIN,Nordic Combined,NCB,VUOKATTI,Finland,,../../../en/results/nordic-combined/athlete-profile-n1013051-arttu-maekiaho.htm
1584,MAENALANEN Saku,MAENALANEN S,Male,1994-05-29,TORNIO,Finland,Finland,FIN,Ice Hockey,IHO,OULU,Finland,1.92/6'3'',../../../en/results/ice-hockey/athlete-profile-n1035625-saku-maenalanen.htm
1585,MAES Sam,MAES S,Male,1998-06-07,EDEGEM,Belgium,Belgium,BEL,Alpine Skiing,ALP,ZELL AM SEE,Austria,,../../../en/results/alpine-skiing/athlete-profile-n1045282-sam-maes.htm
1586,MAGAZEEV Pavel,MAGAZEEV P,Male,1988-07-12,RUSSIA,Russian Federation,Republic of Moldova,MDA,Biathlon,BTH,,,,../../../en/results/biathlon/athlete-profile-n1050886-pavel-magazeev.htm
1587,MAGNIN Thibault,MAGNIN T,Male,2000-10-12,FRIBOURG,Switzerland,Spain,ESP,Freestyle Skiing,FRS,ANDORRA,Andorra,,../../../en/results/freestyle-skiing/athlete-profile-n1043343-thibault-magnin.htm
1588,MAGNUSSEN Bjoern,MAGNUSSEN B,Male,1998-01-02,TRONDHEIM,Norway,Norway,NOR,Speed Skating,SSK,TRONDHEIM,Norway,1.85/6'0'',../../../en/results/speed-skating/athlete-profile-n1032346-bjoern-magnussen.htm
1589,MAGNUSSON Anna,MAGNUSSON A,Female,1995-03-31,PITEA,Sweden,Sweden,SWE,Biathlon,BTH,OESTERSUND,Sweden,,../../../en/results/biathlon/athlete-profile-n1051462-anna-magnusson.htm
1590,MAGNUSSON Daniel,MAGNUSSON D,Male,2000-03-08,KARLSTAD,Sweden,Sweden,SWE,Curling,CUR,KARLSTAD,Sweden,,../../../en/results/curling/athlete-profile-n1035392-daniel-magnusson.htm
1591,MAGNUSSON Oliwer,MAGNUSSON O,Male,2000-06-03,OSTERSUND,Sweden,Sweden,SWE,Freestyle Skiing,FRS,ARE,Sweden,,../../../en/results/freestyle-skiing/athlete-profile-n1037401-oliwer-magnusson.htm
1592,MAGYAR Mark,MAGYAR M,Male,1990-04-28,BUDAPEST,Hungary,Hungary,HUN,Figure Skating,FSK,BUDAPEST,Hungary,,../../../en/results/figure-skating/athlete-profile-n1044145-mark-magyar.htm
1593,MAIER Benjamin,MAIER B,Male,1994-04-19,HALL IN TIROL,Austria,Austria,AUT,Bobsleigh,BOB,RUM,Austria,,../../../en/results/bobsleigh/athlete-profile-n1004340-benjamin-maier.htm
1594,MAIER Daniela,MAIER D,Female,1996-03-04,FURTWANGEN,Germany,Germany,GER,Freestyle Skiing,FRS,URACH,Germany,,../../../en/results/freestyle-skiing/athlete-profile-n1012768-daniela-maier.htm
1595,MAIER Samuel,MAIER S,Male,1999-10-03,,Austria,Austria,AUT,Skeleton,SKN,,,,../../../en/results/skeleton/athlete-profile-n1004355-samuel-maier.htm
1596,MAJOR Billy,MAJOR B,Male,1996-11-21,CAMBRIDGE,Great Britain,Great Britain,GBR,Alpine Skiing,ALP,CAMBRIDGE,Great Britain,,../../../en/results/alpine-skiing/athlete-profile-n1045693-billy-major.htm
1597,MAJOROV Nikolaj,MAJOROV N,Male,2000-08-18,LULEA,Sweden,Sweden,SWE,Figure Skating,FSK,NORRKOEPING,Sweden,,../../../en/results/figure-skating/athlete-profile-n1036256-nikolaj-majorov.htm
1598,MAKA Anna,MAKA A,Female,1992-05-22,ZAKOPANE,Poland,Poland,POL,Biathlon,BTH,ZAKOPANE,Poland,,../../../en/results/biathlon/athlete-profile-n1034945-anna-maka.htm
1599,MAKAROV Maksim,MAKAROV M,Male,1995-12-09,BADYA,Russian Federation,Republic of Moldova,MDA,Biathlon,BTH,IZHEVSK,Russian Federation,,../../../en/results/biathlon/athlete-profile-n1050883-maksim-makarov.htm
1600,MAKAROVA Anastasiia,MAKAROVA A,Female,1998-12-09,,,ROC,ROC,Bobsleigh,BOB,,,,../../../en/results/bobsleigh/athlete-profile-n1056088-anastasiia-makarova.htm
1601,MAKHINIA Irma,MAKHINIA I,Female,2002-09-06,,Russian Federation,ROC,ROC,Ski Jumping,SJP,,Russian Federation,,../../../en/results/ski-jumping/athlete-profile-n1036691-irma-makhinia.htm
1602,MAKI Joni,MAKI J,Male,1995-01-24,VAASA,Finland,Finland,FIN,Cross-Country Skiing,CCS,SOTKAMO,Finland,,../../../en/results/cross-country-skiing/athlete-profile-n1013050-joni-maki.htm
1603,MAKINEN Eveliina,MAKINEN E,Female,1995-04-12,KIUKAINEN,Finland,Finland,FIN,Ice Hockey,IHO,,,1.75/5'8'',../../../en/results/ice-hockey/athlete-profile-n1053414-eveliina-makinen.htm
1604,MALEC Vedrana,MALEC V,Female,1990-03-24,ZAGREB,Croatia,Croatia,CRO,Cross-Country Skiing,CCS,ZAGREB,Croatia,,../../../en/results/cross-country-skiing/athlete-profile-n1036082-vedrana-malec.htm
1605,MALFATTI Michele,MALFATTI M,Male,1994-12-31,TRENTO,Italy,Italy,ITA,Speed Skating,SSK,,Italy,1.83/6'0'',../../../en/results/speed-skating/athlete-profile-n1035037-michele-malfatti.htm
1606,MALGIN Denis,MALGIN D,Male,1997-01-18,OLTEN,Switzerland,Switzerland,SUI,Ice Hockey,IHO,ZURICH,Switzerland,1.75/5'8'',../../../en/results/ice-hockey/athlete-profile-n1048764-denis-malgin.htm
1607,MALISZEWSKA Natalia,MALISZEWSKA N,Female,1995-09-16,BIALYSTOK,Poland,Poland,POL,Short Track Speed Skating,STK,BIALYSTOK,Poland,,../../../en/results/short-track-speed-skating/athlete-profile-n1035711-natalia-maliszewska.htm
1608,MALISZEWSKA Patrycja,MALISZEWSKA P,Female,1988-03-12,BIALYSTOK,Poland,Poland,POL,Short Track Speed Skating,STK,BIALYSTOK,Poland,,../../../en/results/short-track-speed-skating/athlete-profile-n1035712-patrycja-maliszewska.htm
1609,MALONEY WESTGAARD Thomas,MALONEY WESTGAARD,Male,1995-10-10,LEKA,Norway,Ireland,IRL,Cross-Country Skiing,CCS,MERAKER,Norway,,../../../en/results/cross-country-skiing/athlete-profile-n1015644-thomas-maloney-westgaard.htm
1610,MALSINER Jessica,MALSINER J,Female,2002-09-23,VIPITENO,Italy,Italy,ITA,Ski Jumping,SJP,ORTISEI,Italy,,../../../en/results/ski-jumping/athlete-profile-n1037142-jessica-malsiner.htm
1611,MALTAIS Emma,MALTAIS E,Female,1999-11-04,CAMBRIDGE/MA,United States of America,Canada,CAN,Ice Hockey,IHO,"COLUMBUS, OH",United States of America,1.60/5'2'',../../../en/results/ice-hockey/athlete-profile-n1036307-emma-maltais.htm
1612,MALTAIS Valerie,MALTAIS V,Female,1990-07-04,"LA BAIE, QC",Canada,Canada,CAN,Speed Skating,SSK,"SAINT-LAMBERT, QC",Canada,1.64/5'4'',../../../en/results/speed-skating/athlete-profile-n1038470-valerie-maltais.htm
1613,MALTSEV Artem,MALTSEV A,Male,1993-05-24,NIZHNY NOVGOROD,Russian Federation,ROC,ROC,Cross-Country Skiing,CCS,NIZHNY NOVGOROD,Russian Federation,,../../../en/results/cross-country-skiing/athlete-profile-n1036634-artem-maltsev.htm
1614,MALTSEV Kevin,MALTSEV K,Male,2000-07-04,ELVA,Estonia,Estonia,EST,Ski Jumping,SJP,ELVA,Estonia,,../../../en/results/ski-jumping/athlete-profile-n1034312-kevin-maltsev.htm
1615,MALTSEVA Ekaterina,MALTSEVA E,Female,1994-04-25,KIROVGRAD,Russian Federation,ROC,ROC,Freestyle Skiing,FRS,SAINT-PETERSBURG,Russian Federation,,../../../en/results/freestyle-skiing/athlete-profile-n1041117-ekaterina-maltseva.htm
1616,MAMCICS Roberts,MAMCICS R,Male,1995-04-06,,,Latvia,LAT,Ice Hockey,IHO,,,1.95/6'4'',../../../en/results/ice-hockey/athlete-profile-n1037306-roberts-mamcics.htm
1617,MAMEDOVA Elena,MAMEDOVA E,Female,1994-06-06,VORONEZH,Russian Federation,ROC,ROC,Bobsleigh,BOB,VORONEZH,Russian Federation,,../../../en/results/bobsleigh/athlete-profile-n1056090-elena-mamedova.htm
1618,MANDELJC Anja,MANDELJC A,Female,1999-06-04,,Slovenia,Slovenia,SLO,Cross-Country Skiing,CCS,,Slovenia,,../../../en/results/cross-country-skiing/athlete-profile-n1050913-anja-mandeljc.htm
1619,MANDZIY Andriy,MANDZIY A,Male,1988-02-19,KREMENETS,Ukraine,Ukraine,UKR,Luge,LUG,KREMENETS,Ukraine,,../../../en/results/luge/athlete-profile-n1045027-andriy-mandziy.htm
1620,MANGAN Tricia,MANGAN T,Female,1997-03-07,"BUFFALO, NY",United States of America,United States of America,USA,Alpine Skiing,ALP,"BUFFALO, NY",United States of America,,../../../en/results/alpine-skiing/athlete-profile-n1041234-tricia-mangan.htm
1621,MANIFICAT Maurice,MANIFICAT M,Male,1986-04-04,SALLANCHES,France,France,FRA,Cross-Country Skiing,CCS,ST. NIZIER DU MOUCHEROTTE,France,1.85/6'0'',../../../en/results/cross-country-skiing/athlete-profile-n1035822-maurice-manificat.htm
1622,MANKOV Ilya,MANKOV I,Male,2003-03-17,NIZHNY TAGIL,Russian Federation,ROC,ROC,Ski Jumping,SJP,NIZHNY TAGIL,Russian Federation,,../../../en/results/ski-jumping/athlete-profile-n1036686-ilya-mankov.htm
1623,MANN Strauss,MANN S,Male,1998-08-18,"GREENWICH, CT",United States of America,United States of America,USA,Ice Hockey,IHO,,,1.83/6'0'',../../../en/results/ice-hockey/athlete-profile-n1182286-strauss-mann.htm
1624,MANNIMA Tatjana,MANNIMA T,Female,1980-01-10,KIVIOLI,Estonia,Estonia,EST,Cross-Country Skiing,CCS,OTEPAA,Estonia,,../../../en/results/cross-country-skiing/athlete-profile-n1035316-tatjana-mannima.htm
1625,MANNINEN Sakari,MANNINEN S,Male,1992-02-10,OULU,Finland,Finland,FIN,Ice Hockey,IHO,UFA,Russian Federation,1.70/5'6'',../../../en/results/ice-hockey/athlete-profile-n1013052-sakari-manninen.htm
1626,MANTIA Joey,MANTIA J,Male,1986-02-07,"OCALA, FL",United States of America,United States of America,USA,Speed Skating,SSK,"SALT LAKE CITY, UT",United States of America,1.73/5'8'',../../../en/results/speed-skating/athlete-profile-n1037443-joey-mantia.htm
1627,MAO Bingqiang,MAO B,Male,2001-07-19,HARBIN,People's Republic of China,People's Republic of China,CHN,Freestyle Skiing,FRS,BEIJING,People's Republic of China,,../../../en/results/freestyle-skiing/athlete-profile-n1058759-bingqiang-mao.htm
1628,MARCANO Andre,MARCANO A,Male,1986-03-27,,,Trinidad and Tobago,TTO,Bobsleigh,BOB,"NEW YORK CITY, NY",United States of America,,../../../en/results/bobsleigh/athlete-profile-n1139260-andre-marcano.htm
1629,MARCHANT Armand,MARCHANT A,Male,1997-12-14,LIEGE,Belgium,Belgium,BEL,Alpine Skiing,ALP,THIMISTER,Belgium,,../../../en/results/alpine-skiing/athlete-profile-n1045283-armand-marchant.htm
1630,MARCHENKO Kirill,MARCHENKO K,Male,2000-07-21,BARNAUL,Russian Federation,ROC,ROC,Ice Hockey,IHO,ST. PETERSBURG,Russian Federation,1.89/6'2'',../../../en/results/ice-hockey/athlete-profile-n1056481-kirill-marchenko.htm
1631,MARCISZ Izabela,MARCISZ I,Female,2000-05-18,KROSNO,Poland,Poland,POL,Cross-Country Skiing,CCS,KORCZYNA,Poland,,../../../en/results/cross-country-skiing/athlete-profile-n1032075-izabela-marcisz.htm
1632,MARGAGLIO Valentina,MARGAGLIO V,Female,1993-11-15,"CASALE MONFERRATO, ALESSANDRIA",Italy,Italy,ITA,Skeleton,SKN,,,,../../../en/results/skeleton/athlete-profile-n1115424-valentina-margaglio.htm
1633,MARGIS Thorsten,MARGIS T,Male,1989-08-14,BAD HONNEF,Federal Republic of Germany,Germany,GER,Bobsleigh,BOB,HALLE,Germany,,../../../en/results/bobsleigh/athlete-profile-n1014480-thorsten-margis.htm
1634,MARGUC Rok,MARGUC R,Male,1986-05-25,CELJE,Slovenia,Slovenia,SLO,Snowboard,SBD,LASKO,Slovenia,,../../../en/results/snowboard/athlete-profile-n1051165-rok-marguc.htm
1635,MARGULIES Carly,MARGULIES C,Female,1997-12-24,"ALAMEDA, CA",United States of America,United States of America,USA,Freestyle Skiing,FRS,"SALT LAKE CITY, UT",United States of America,,../../../en/results/freestyle-skiing/athlete-profile-n1044675-carly-margulies.htm
1636,MARINARO Michael,MARINARO M,Male,1992-01-07,"SARNIA, ON",Canada,Canada,CAN,Figure Skating,FSK,"OAKVILLE, ON",Canada,,../../../en/results/figure-skating/athlete-profile-n1038599-michael-marinaro.htm
1637,MARINCIN Martin,MARINCIN M,Male,1992-02-18,KOSICE,Slovakia,Slovakia,SVK,Ice Hockey,IHO,TRINEC,Czech Republic,1.92/6'3'',../../../en/results/ice-hockey/athlete-profile-n1044297-martin-marincin.htm
1638,MARINO Julia,MARINO J,Female,1997-09-11,"YONKERS, NY",United States of America,United States of America,USA,Snowboard,SBD,"WESTPORT, CT",United States of America,,../../../en/results/snowboard/athlete-profile-n1044820-julia-marino.htm
1639,MARSAGLIA Francesca,MARSAGLIA F,Female,1990-01-27,ROME,Italy,Italy,ITA,Alpine Skiing,ALP,CESANA TORINESE,Italy,,../../../en/results/alpine-skiing/athlete-profile-n1015234-francesca-marsaglia.htm
1640,MARSAGLIA Matteo,MARSAGLIA M,Male,1985-10-05,ROME,Italy,Italy,ITA,Alpine Skiing,ALP,TORINO,Italy,,../../../en/results/alpine-skiing/athlete-profile-n1015227-matteo-marsaglia.htm
1641,MARTI Alina,MARTI A,Female,2004-04-23,BIELENBACH,Switzerland,Switzerland,SUI,Ice Hockey,IHO,,,1.67/5'5'',../../../en/results/ice-hockey/athlete-profile-n1048774-alina-marti.htm
1642,MARTI Christian,MARTI C,Male,1993-03-29,BULACH,Switzerland,Switzerland,SUI,Ice Hockey,IHO,ZURICH,Switzerland,1.90/6'2'',../../../en/results/ice-hockey/athlete-profile-n1048776-christian-marti.htm
1643,MARTINS Edson Ricardo,MARTINS ER,Male,1989-10-04,MARILIA,Brazil,Brazil,BRA,Bobsleigh,BOB,,,,../../../en/results/bobsleigh/athlete-profile-n1055466-edson-ricardo-martins.htm
1644,MARUSIAK Yevhen,MARUSIAK Y,Male,2000-03-16,,,Ukraine,UKR,Ski Jumping,SJP,,,,../../../en/results/ski-jumping/athlete-profile-n1041805-yevhen-marusiak.htm
1645,MASCHMEYER Emerance,MASCHMEYER E,Female,1994-10-05,"FORT SASKATCHEWAN, AB",Canada,Canada,CAN,Ice Hockey,IHO,"BRUDERHEIM, AB",Canada,1.68/5'6'',../../../en/results/ice-hockey/athlete-profile-n1036292-emerance-maschmeyer.htm
1646,MASCITTO Cynthia,MASCITTO C,Female,1992-10-04,"MONTREAL, QC",Canada,Italy,ITA,Short Track Speed Skating,STK,,Italy,,../../../en/results/short-track-speed-skating/athlete-profile-n1034983-cynthia-mascitto.htm
1647,MASTIEV Samir,MASTIEV S,Male,1993-01-13,EKATERINBURG,Russian Federation,ROC,ROC,Nordic Combined,NCB,EKATERINBURG,Russian Federation,,../../../en/results/nordic-combined/athlete-profile-n1036704-samir-mastiev.htm
1648,MASTNAK Tim,MASTNAK T,Male,1991-01-31,CELJE,Slovenia,Slovenia,SLO,Snowboard,SBD,CELJE,Slovenia,,../../../en/results/snowboard/athlete-profile-n1051179-tim-mastnak.htm
1649,MASTRO Maddie,MASTRO M,Female,2000-02-22,"LOMA LINDA, CA",United States of America,United States of America,USA,Snowboard,SBD,"WRIGHTWOOD, CA",United States of America,,../../../en/results/snowboard/athlete-profile-n1044758-maddie-mastro.htm
1650,MASUHARA Miyuu,MASUHARA M,Female,2001-10-04,,,Japan,JPN,Ice Hockey,IHO,,,1.57/5'1'',../../../en/results/ice-hockey/athlete-profile-n1042419-miyuu-masuhara.htm
1651,MATHESON James,MATHESON J,Male,1995-04-10,BUENOS AIRES,Argentina,Australia,AUS,Freestyle Skiing,FRS,DOUBLE BAY,Australia,,../../../en/results/freestyle-skiing/athlete-profile-n1046158-james-matheson.htm
1652,MATHIES Lukas,MATHIES L,Male,1991-03-15,SCHRUNS,Austria,Austria,AUT,Snowboard,SBD,GORTIPOHL,Austria,,../../../en/results/snowboard/athlete-profile-n1005473-lukas-mathies.htm
1653,MATINTALO Johanna,MATINTALO J,Female,1996-12-11,KARINAINEN,Finland,Finland,FIN,Cross-Country Skiing,CCS,ROVANIEMI,Finland,,../../../en/results/cross-country-skiing/athlete-profile-n1025195-johanna-matintalo.htm
1654,MATSOKINA Hristina,MATSOKINA H,Female,1998-08-19,MAGADAN,Russian Federation,ROC,ROC,Cross-Country Skiing,CCS,NIZHNY NOVGOROD,Russian Federation,,../../../en/results/cross-country-skiing/athlete-profile-n1036657-hristina-matsokina.htm
1655,MATSUDA So,MATSUDA S,Male,1999-09-24,KYOTO,Japan,Japan,JPN,Freestyle Skiing,FRS,NAGANO,Japan,,../../../en/results/freestyle-skiing/athlete-profile-n1037900-so-matsuda.htm
1656,MATT Michael,MATT M,Male,1993-05-13,BLUDENZ,Austria,Austria,AUT,Alpine Skiing,ALP,FLIRSCH AM ARLBERG,Austria,,../../../en/results/alpine-skiing/athlete-profile-n1005387-michael-matt.htm
1657,MATTSSON Niklas,MATTSSON N,Male,1992-03-16,SUNDSVALL,Sweden,Sweden,SWE,Snowboard,SBD,SUNDSVALL,Sweden,,../../../en/results/snowboard/athlete-profile-n1045446-niklas-mattsson.htm
1658,MAUD Tessa,MAUD T,Female,2003-10-10,"ENCINITAS, CA",United States of America,United States of America,USA,Snowboard,SBD,"CARLSBAD, CA",United States of America,,../../../en/results/snowboard/athlete-profile-n1044801-tessa-maud.htm
1659,MAURER Saskia,MAURER S,Female,2001-07-29,BERN,Switzerland,Switzerland,SUI,Ice Hockey,IHO,ROTHENBACH,Switzerland,1.66/5'5'',../../../en/results/ice-hockey/athlete-profile-n1048787-saskia-maurer.htm
1660,MAYER Matthias,MAYER M,Male,1990-06-09,,,Austria,AUT,Alpine Skiing,ALP,AFRITZ AM SEE,Austria,,../../../en/results/alpine-skiing/athlete-profile-n1005388-matthias-mayer.htm
1661,MAZDZER Chris,MAZDZER C,Male,1988-06-26,"PITTSFIELD, MA",United States of America,United States of America,USA,Luge,LUG,"SALT LAKE CITY, UT",United States of America,,../../../en/results/luge/athlete-profile-n1044533-chris-mazdzer.htm
1662,MAZI JAMNIK Hana,MAZI JAMNIK H,Female,2002-12-08,,,Slovenia,SLO,Cross-Country Skiing,CCS,,,,../../../en/results/cross-country-skiing/athlete-profile-n1050904-hana-mazi-jamnik.htm
1663,MAZUR Nikola,MAZUR N,Female,1995-11-05,BIALYSTOK,Poland,Poland,POL,Short Track Speed Skating,STK,BIALYSTOK,Poland,,../../../en/results/short-track-speed-skating/athlete-profile-n1035713-nikola-mazur.htm
1664,MAZURCHUK Dmytro,MAZURCHUK D,Male,1999-01-19,KREMENETS,Ukraine,Ukraine,UKR,Nordic Combined,NCB,KREMENETS,Ukraine,,../../../en/results/nordic-combined/athlete-profile-n1042080-dmytro-mazurchuk.htm
1665,McBAIN Jack,McBAIN J,Male,2000-01-06,"TORONTO, ON",Canada,Canada,CAN,Ice Hockey,IHO,"BOSTON, MA",United States of America,1.91/6'3'',../../../en/results/ice-hockey/athlete-profile-n1140543-jack-mcbain.htm
1666,McCABE Novie,McCABE N,Female,2001-12-15,"WINTHROP, WA",United States of America,United States of America,USA,Cross-Country Skiing,CCS,"WINTHROP, WA",United States of America,,../../../en/results/cross-country-skiing/athlete-profile-n1041375-novie-mccabe.htm
1667,McDONALD Cole,McDONALD C,Male,2003-03-06,"PARK CITY, UT",United States of America,United States of America,USA,Freestyle Skiing,FRS,"PARK CITY, UT",United States of America,,../../../en/results/freestyle-skiing/athlete-profile-n1044688-cole-mcdonald.htm
1668,McDOUGALL Brooklyn,McDOUGALL B,Female,1998-08-23,CALGARY,Canada,Canada,CAN,Speed Skating,SSK,CALGARY,Canada,1.77/5'9'',../../../en/results/speed-skating/athlete-profile-n1038492-brooklyn-mcdougall.htm
1669,McEACHRAN Evan,McEACHRAN E,Male,1997-03-06,"OAKVILLE, ON",Canada,Canada,CAN,Freestyle Skiing,FRS,"OAKVILLE, ON",Canada,,../../../en/results/freestyle-skiing/athlete-profile-n1037613-evan-mceachran.htm
1670,McEWEN Dawn,McEWEN D,Female,1980-07-03,"OTTAWA, ON",Canada,Canada,CAN,Curling,CUR,"WINNIPEG, MB",Canada,,../../../en/results/curling/athlete-profile-n1054754-dawn-mcewen.htm
1671,McGRATH Atle Lie,McGRATH AL,Male,2000-04-21,"BURLINGTON, VT",United States of America,Norway,NOR,Alpine Skiing,ALP,EIKSMARKA,Norway,,../../../en/results/alpine-skiing/athlete-profile-n1031303-atle-lie-mcgrath.htm
1672,McKAY Natasha,McKAY N,Female,1995-01-14,DUNDEE,Great Britain,Great Britain,GBR,Figure Skating,FSK,DUNDEE,Great Britain,,../../../en/results/figure-skating/athlete-profile-n1045207-natasha-mckay.htm
1673,McLAUGHLIN Marc,McLAUGHLIN M,Male,1999-07-26,"NORTH BILLERICA, MA",United States of America,United States of America,USA,Ice Hockey,IHO,,,1.83/6'0'',../../../en/results/ice-hockey/athlete-profile-n1182016-marc-mclaughlin.htm
1674,McLEAN Heather,McLEAN H,Female,1993-01-04,"WINNIPEG, MB",Canada,Canada,CAN,Speed Skating,SSK,"WINNIPEG, MB",Canada,1.64/5'4'',../../../en/results/speed-skating/athlete-profile-n1038478-heather-mclean.htm
1675,McMANIMAN Audrey,McMANIMAN A,Female,1995-01-24,"ST-CHARLES-BORROMEE, QC",Canada,Canada,CAN,Snowboard,SBD,"QUEBEC CITY, QC",Canada,,../../../en/results/snowboard/athlete-profile-n1045861-audrey-mcmaniman.htm
